TESTE COM ARQUIVO GRANDE

-----------Padrão pequeno

#Forca Bruta

Casamento na posicao: 731531
Casamento na posicao: 739205
Casamento na posicao: 740217
Casamento na posicao: 740916
Casamento na posicao: 748590
Casamento na posicao: 749602
Casamento na posicao: 750301
Casamento na posicao: 757975
Casamento na posicao: 758987
Casamento na posicao: 759686
Casamento na posicao: 767360
Casamento na posicao: 768372
Casamento na posicao: 769071
Casamento na posicao: 776745
Casamento na posicao: 777757
Casamento na posicao: 778456
Casamento na posicao: 786130
Casamento na posicao: 787142
Casamento na posicao: 787841
Casamento na posicao: 795515
Casamento na posicao: 796527
Casamento na posicao: 797226
Casamento na posicao: 801666
Casamento na posicao: 802678
Casamento na posicao: 803377
Casamento na posicao: 811051
Casamento na posicao: 812063
Casamento na posicao: 812762
Casamento na posicao: 820436
Casamento na posicao: 821448
Casamento na posicao: 822147
Casamento na posicao: 829821
Casamento na posicao: 830833
Casamento na posicao: 831532
Casamento na posicao: 839206
Casamento na posicao: 840218
Casamento na posicao: 840917
Casamento na posicao: 848591
Casamento na posicao: 849603
Casamento na posicao: 850302
Casamento na posicao: 857976
Casamento na posicao: 858988
Casamento na posicao: 859687
Casamento na posicao: 867361
Casamento na posicao: 868373
Casamento na posicao: 869072
Casamento na posicao: 876746
Casamento na posicao: 877758
Casamento na posicao: 878457
Casamento na posicao: 886131
Casamento na posicao: 887143
Casamento na posicao: 887842
Casamento na posicao: 895516
Casamento na posicao: 896528
Casamento na posicao: 897227
Casamento na posicao: 901665
Casamento na posicao: 902677
Casamento na posicao: 903376
Casamento na posicao: 911050
Casamento na posicao: 912062
Casamento na posicao: 912761
Casamento na posicao: 920435
Casamento na posicao: 921447
Casamento na posicao: 922146
Casamento na posicao: 929820
Casamento na posicao: 930832
Casamento na posicao: 931531
Casamento na posicao: 939205
Casamento na posicao: 940217
Casamento na posicao: 940916
Casamento na posicao: 948590
Casamento na posicao: 949602
Casamento na posicao: 950301
Casamento na posicao: 957975
Casamento na posicao: 958987
Casamento na posicao: 959686
Casamento na posicao: 967360
Casamento na posicao: 968372
